Name		Guthling	: {	1	:{
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
6	: ?	BULLET SEED	?.		
9	: ?	PECK	?.		
14	: ?	sand ATTACK	?.		
16	: ?	RAZOR LEAF	?.		
22	: ?	PLUCK	?.		
25	: ?	SCREECH	?.		
29	: ?	FURY ATTACK	?.		
32	: ?	MAGICAL LEAF	?.		
35	: ?	LEAF BLADE	?.		
40	: ?	FORESTS CURSE	?.		
44	: ?	BRAVE BIRD	?.		}.}.
Name		Guthbird	: {	2	:{
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
1	: ?	BULLET SEED	?.		
4	: ?	PECK	?.		
8	: ?	sand ATTACK	?.		
11	: ?	RAZOR LEAF	?.		
18	: ?	PLUCK	?.		
21	: ?	FURY ATTACK	?.		
24	: ?	SCREECH	?.		
28	: ?	ACROBATICS	?.		
32	: ?	MAGICAL LEAF	?.		
36	: ?	LEAF BLADE	?.		
43	: ?	FORESTS CURSE	?.		
45	: ?	BRAVE BIRD	?.		
50	: ?	STRENGTH SAP	?.		}.}.
Name		Guthraptor	: {	3	:{
1	: ?	SEED BOMB	?.		
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
1	: ?	BULLET SEED	?.		
1	: ?	sand ATTACK	?.		
7	: ?	RAZOR LEAF	?.		
14	: ?	PLUCK	?.		
19	: ?	FURY ATTACK	?.		
24	: ?	SCREECH	?.		
28	: ?	ACROBATICS	?.		
32	: ?	MAGICAL LEAF	?.		
36	: ?	LEAF BLADE	?.		
40	: ?	AROMATHERAPY	?.		
43	: ?	FORESTS CURSE	?.		
48	: ?	BRAVE BIRD	?.		
51	: ?	STRENGTH SAP	?.		}.}.
Name		Zamling	: {	4	:{
1	: ?	SCRATCH	?.		
1	: ?	GROWL	?.		
6	: ?	EMBER	?.		
9	: ?	PECK	?.		
14	: ?	sand ATTACK	?.		
16	: ?	FLAME WHEEL	?.		
22	: ?	PLUCK	?.		
25	: ?	SWAGGER	?.		
29	: ?	FURY ATTACK	?.		
32	: ?	CHATTER	?.		
35	: ?	HEAT WAVE	?.		
40	: ?	SUNNY DAY	?.		
44	: ?	FLARE BLITZ	?.		}.}.
Name		Zambird	: {	5	:{
1	: ?	SCRATCH	?.		
1	: ?	GROWL	?.		
1	: ?	EMBER	?.		
4	: ?	PECK	?.		
8	: ?	sand ATTACK	?.		
11	: ?	FLAME WHEEL	?.		
18	: ?	PLUCK	?.		
21	: ?	SWAGGER	?.		
24	: ?	FURY ATTACK	?.		
28	: ?	CHATTER	?.		
32	: ?	INCINERATE	?.		
36	: ?	HEAT WAVE	?.		
43	: ?	SUNNY DAY	?.		
45	: ?	THRASH	?.		
50	: ?	FLARE BLITZ	?.		}.}.
Name		Zamohawk	: {	6	:{
1	: ?	METRONOME	?.		
1	: ?	SCRATCH	?.		
1	: ?	GROWL	?.		
1	: ?	PECK	?.		
1	: ?	EMBER	?.		
7	: ?	sand ATTACK	?.		
14	: ?	FLAME WHEEL	?.		
19	: ?	PLUCK	?.		
24	: ?	SWAGGER	?.		
28	: ?	FURY ATTACK	?.		
32	: ?	INCINERATE	?.		
36	: ?	HEAT WAVE	?.		
40	: ?	SUNNY DAY	?.		
43	: ?	THRASH	?.		
48	: ?	FLARE BLITZ	?.		
51	: ?	BURN UP	?.		}.}.
Name		Saraling	: {	7	:{
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
6	: ?	BUBBLE	?.		
9	: ?	PECK	?.		
14	: ?	sand ATTACK	?.		
16	: ?	BUBBLE BEAM	?.		
22	: ?	PLUCK	?.		
25	: ?	CALM MIND	?.		
29	: ?	BRINE	?.		
32	: ?	FURY ATTACK	?.		
35	: ?	SPARKLING ARIA	?.		
40	: ?	INSTRUCT	?.		
44	: ?	BRAVE BIRD	?.		}.}.
Name		Sarabird	: {	8	:{
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
1	: ?	BUBBLE	?.		
4	: ?	PECK	?.		
8	: ?	sand ATTACK	?.		
11	: ?	BUBBLE BEAM	?.		
18	: ?	PLUCK	?.		
21	: ?	FURY ATTACK	?.		
