ID, NAME, DEX ENTRY, HEIGHT, WEIGHT, DEX NUMBER, CATEGORY, COUNT, Creature in RuneScape
1, Guthling, Hatched from a green egg. These birds seek balance in the world., 1.0, 10.0, 1, Small Bird, 10, Guthix Chick
2, Guthbird, Now a juvenile### the bird flies great horizons in the name of Guthix., 3.6, 42.2, 2, YoungRaptor, 11, Guthix Bird
3, Guthraptor, Known as a bird symbolizing harmony and balance. If it shows up### all is well., 6.3, 86.2, 3, Balance , 8, Guthix Raptor
4, Zamling, Hatched from a red egg. These birds align with Zamorak., 1.5, 12.1, 4, Small Wing, 10, Zamorak Chick
5, Zambird, Birds who fly over battlefields.They are known for enjoying chaos., 3.6, 43.5, 5, Young Hawk, 10, Zamorak Bird
6, Zamohawk, During the Third Age these hawks were used by falconers under Zamorak., 6.3, 72.6, 6, Chaos Hawk, 10, Zamorak Hawk
7, Saraling, Hatched from a blue egg. They possess great wisdom from birth., 1.5, 11.4, 7, Small Beak, 10, Saradomin Chick
8, Sarabird, With age these birds gain evermore wisdom of law and order., 3.6, 39.9, 8, Young Owl, 9, Saradomin Bird
9, Saraowl, A herald of Saradomin. These owls align themselves to wise individuals who respect law and order above all else., 6.3, 91.2, 9, Wisdom Owl, 10, Saradomin Owl
10, Chick, Newly hatched from an egg### these birds will one day be killed for feathers by adventurers., 1.1, 7.6, 10, Hatched, 7, Chick
11, Chicken_Normal_Form, Gielinor's finest creature and in great abundance. Their feathers make excellent arrows., 5.1, 22.4, 11*, Chicken, 7, Chicken
12, Dreadfowl, While it is unclear how it is connected to the Evil Chicken### they do share a dreadful magic attack., 7.6, 28.2, 12, Dread, 5, Dreadfowl
13, Chicken_Varrock_Form, Hardened from the streets of Varrock### this chicken can often be seen fighting a Stray Dog for scraps of food., 5.1, 22.4, 11*, Chicken, 7, 
14, Chicken_Diving_Form, This chicken adapted to underwater life after its home was sunk to the bottom of the ocean. , 7.6, 28.2, 13, Sunken, 6, Underwater Chicken
15, Chicken_Karamja_Form, This chicken stowed away on a ship### and has now adapted to the warmer Karamjan climate., 5.1, 22.4, 11*, Chicken, 7, 
16, Chicken_Death_Form, Serving as the steed of Frank### the fifth member of The Horsemen. This chicken has done nothing worth mentioning., 6.1, 27.2, , Death, 5, Death horse
17, Chicken_Bandosian_Form, Initially stolen by goblins for food### this chicken is now a devout follower of the Big High War God., 5.1, 22.4, 11*, Chicken, 7, 
18, Chicken_War_Form, The horse of Frank### the fifth member of the clan### 'The Horsemen'., 6.1, 27.2, , War, 3, War horse
19, Rooster_Normal_Form, While seemingly unusable due to not laying eggs### they are great for getting up early., 5.1, 22.3, 14*, Rooster, 7, Rooster
20, Ernest, A coward went inside Draynor Manor as a dare. Now his shape reflects his spirit., 5.1, 21.0, 16, Rattled, 7, Ernest
21, Rooster_Karamja_Form, As the inhabitants of Karamja are up before sunrise to hunt### this rooster has nothing to do. Due to this he's lost the ability to crow at all., 5.1, 22.3, 14*, Rooster, 7, 
22, Oomlie, Strictly found inside the Kharazi Jungle### their meat is used in the renowned 'oomlie wrap'., 17.5, 113.2, 15, Oomlie, 6, Oomlie Bird
23, Rooster_Bandosian_Form, Instead of signalling the start of the day### these roosters have been trained to crow as a war cry for the Big High War God Bandos., 5.1, 22.3, 14*, Rooster, 7, 
24, Chicken_Famine_Form, The fusion of 4 different chickens sent to certain death. Its power is that of 4 whole chickens., 6.1, 27.2, , Famine, 6, Famine horse
25, Rooster_Varrock_Form, The sounds of this rooster crowing are drowned out by the constant drone of adventurers coming and going from the Grand Exchange., 5.1, 22.3, 14*, Rooster, 7, 
26, Chicken_Pestilence_Form, The Scientist Avalani sent several chicken into the sky to research the clan citadel. Not many returned., 6.1, 27.2, , Pestilence, 10, Pestilence horse
27, Chicken_Lizard_Form, It is unclear whether it is a lizard or a chicken. Nor what came first### the egg or the lizard., 5.1, 13.5, 18, Lizard, 6, Lizard Chicken
28, Chicken_Undead_Form, Chickens who died### but became reanimated. They mainly hail from Morytania., 5.1, 11.2, 17, Ex Chicken, 10, Undead Chicken
29, Chicken_Mystery_Form, A chicken without any clear purpose or meaning. The real mystery is why it exists., 5.1, 20.8, , Mystery, 7, Mysterious chicken
30, EvilChicken, A chicken known to eat its fellow chickens. Bad to the bone. It attacks adventurers on sight., 5.7, 20.8, 21, EvilChicken, 11, Evil Chicken
