, , , , , , , BASE STATS, , , , , , , , EXTRA INFORMATION, , , , , , , , , , , , EFFORT VALUES, , , , , , , Unnecessary Information, , , , , 
ID, NAME, Type 1, Type 2, Ability 1, Ability 2, , Stats Total, HP, Attack, Defense, Special Attack, Special Defense, Speed, , Held Item 1, Held Item 2, Exp Yield, Exp Growth, Gender ratio, Catch %, Friendship, Egg Cycles, Egg Group 1, Egg Group 2, Flee Rate, , HP, Attack, Defense, Special Attack, Special Defense, Speed, , Pokedex Number, Footprint, Egg Steps, FAMILY LINE, INGAME NAME, Hidden Ability
1, Guthling, GRASS, -, OVERGROW, OVERGROW, , 310, 65, 50, 50, 50, 55, 40, , -, -, 42, medium slow, 12.5, 45, 70, 20, FLYING, GRASS, 0, , 1, , , , , , , 1, Herblore, 5120, BIRD / STARTER, Guthling, GRASSY_SURGE
2, Guthbird, GRASS, FLYING, OVERGROW, OVERGROW, , 405, 80, 75, 60, 65, 70, 55, , -, -, 100, medium slow, 12.5, 45, 70, 20, FLYING, GRASS, 0, , 2, , , , , , , 2, Herblore, 5120, BIRD / STARTER, Guthbird, GRASSY_SURGE
3, Guthraptor, GRASS, FLYING, OVERGROW, OVERGROW, , 500, 90, 90, 75, 90, 95, 60, , -, -, 156, medium slow, 12.5, 45, 70, 20, FLYING, GRASS, 0, , 3, , , , , , , 3, Herblore, 5120, BIRD / STARTER, Guthraptor, GRASSY_SURGE
4, Zamling, FIRE, -, BLAZE, BLAZE, , 310, 45, 55, 45, 55, 45, 65, , -, -, 42, medium slow, 12.5, 45, 70, 20, FLYING, FIELD, 0, , , , , , , 1, , 4, Firemaking, 5120, BIRD / STARTER, Zamling, DROUGHT
5, Zambird, FIRE, FLYING, BLAZE, BLAZE, , 405, 65, 80, 55, 75, 55, 75, , -, -, 100, medium slow, 12.5, 45, 70, 20, FLYING, FIELD, 0, , , , , , , 2, , 5, Firemaking, 5120, BIRD / STARTER, Zambird, DROUGHT
6, Zamohawk, FIRE, FLYING, BLAZE, BLAZE, , 500, 70, 95, 65, 90, 70, 110, , -, -, 156, medium slow, 12.5, 45, 70, 20, FLYING, FIELD, 0, , , , , , , 3, , 6, Firemaking, 5120, BIRD / STARTER, Zamohawk, DROUGHT
7, Saraling, WATER, -, TORRENT, TORRENT, , 310, 55, 40, 50, 65, 60, 40, , -, -, 42, medium slow, 12.5, 45, 70, 20, FLYING, WATER_3, 0, , , , , 1, , , , 7, Quest, 5120, BIRD / STARTER, Saraling, DRIZZLE
8, Sarabird, WATER, FLYING, TORRENT, TORRENT, , 405, 70, 60, 60, 80, 80, 55, , -, -, 100, medium slow, 12.5, 45, 70, 20, FLYING, WATER_3, 0, , , , , 2, , , , 8, Quest, 5120, BIRD / STARTER, Sarabird, DRIZZLE
9, Saraowl, WATER, FLYING, TORRENT, TORRENT, , 500, 75, 80, 60, 120, 105, 60, , -, -, 156, medium slow, 12.5, 45, 70, 20, FLYING, WATER_3, 0, , , , , 3, , , , 9, Quest, 5120, BIRD / STARTER, Saraowl, DRIZZLE
10, Chick, NORMAL, FLYING, EARLY_BIRD, CUTE_CHARM, , 251, 55, 37, 40, 37, 37, 45, , -, -, 45, medium slow, 50, 255, 70, 15, FLYING, LIFE, 0, , 1, , , , , , , , Fletching, 3840, CHICKEN, Chick, BIG_PECKS
11, Chicken_Normal_Form, NORMAL, FLYING, EARLY_BIRD, KEEN_EYE, , 360, 75, 50, 60, 40, 60, 75, , -, -, 131, medium slow, 100, 120, 70, 15, FLYING, LIFE, 0, , 2, , , , , , , , Cooking, 3840, CHICKEN, Chicken, BIG_PECKS
12, Dreadfowl, NORMAL, FLYING, EARLY_BIRD, KEEN_EYE, , 485, 100, 65, 70, 100, 65, 85, , -, -, 131, medium slow, 100, 110, 70, 15, FLYING, LIFE, 0, , 2, , , 1, , , , , Summoning, 3840, CHICKEN, Dreadfowl, BIG_PECKS
13, Chicken_Varrock_Form, NORMAL, FLYING, EARLY_BIRD, KEEN_EYE, , 360, 75, 50, 60, 40, 60, 75, , -, -, 131, medium slow, 100, 120, 70, 15, FLYING, LIFE, 0, , 1, , , , , , , , Cooking, 3840, CHICKEN, Chicken, BIG_PECKS
14, Chicken_Diving_Form, WATER, FLYING, WATER_BUBBLE, WATER_VEIL, , 485, 70, 80, 80, 85, 100, 70, , -, -, 131, medium slow, 100, 110, 70, 15, FLYING, LIFE, 0, , , , , , 2, , , , Cooking, 3840, CHICKEN, Chicken, WATER_VEIL
